        FltTime          Press           Temp         RelHum         WSpeed          WDirn        GPM_AGL         Ascent
              s            hPa             °C              %            m/s              °              m          m/min
------------------------------------------------------------------------------------------------------------------------
          270.0         838.91         +11.48          91.14           20.5            217         1391.5            287
          271.0         838.41         +11.35          92.71           20.6            217         1396.5            283
          272.0         837.91         +11.28          93.07           20.7            217         1401.5            278
          273.0         837.41         +11.23          92.44           20.7            217         1406.5            271
          274.0         836.93         +11.24          90.74           20.7            217         1411.3            265
          275.0         836.49         +11.34          88.98           20.8            218         1415.7            260
          276.0         836.06         +11.36          88.07           20.8            218         1420.1            256
          277.0         835.62         +11.39          87.94           20.9            218         1424.5            252
          278.0         835.20         +11.38          87.90           20.9            218         1428.6            249
          279.0         834.80         +11.36          87.77           21.0            218         1432.6            245
          280.0         834.42         +11.36          87.63           21.0            218         1436.4            241
          281.0         834.06         +11.35          87.56           21.0            218         1440.0            235
          282.0         833.72         +11.33          87.91           21.1            219         1443.4            230
          283.0         833.41         +11.29          88.15           21.1            219         1446.6            224
          284.0         833.09         +11.27          88.30           21.1            219         1449.8            220
          285.0         832.73         +11.23          88.49           21.1            219         1453.4            217
          286.0         832.37         +11.16          88.77           21.1            219         1457.0            214
          287.0         831.99         +11.17          88.86           21.1            219         1460.8            210
          288.0         831.62         +11.12          88.94           21.1            219         1464.6            207
          289.0         831.26         +11.09          89.03           21.2            219         1468.2            205
          290.0         830.92         +11.09          89.17           21.2            219         1471.6            203
          291.0         830.61         +11.05          89.07           21.2            220         1474.8            202
          292.0         830.29         +11.02          89.13           21.2            220         1478.0            202
          293.0         829.97         +11.01          88.72           21.1            220         1481.2            202
          294.0         829.65         +11.01          88.49           21.1            220         1484.4            202
          295.0         829.32         +11.00          88.47           21.1            220         1487.8            200
          296.0         828.98         +10.98          88.63           21.1            220         1491.2            199
          297.0         828.66         +10.96          88.67           21.1            220         1494.4            198
          298.0         828.35         +10.94          88.84           21.1            220         1497.6            196
          299.0         828.01         +10.91          89.00           21.1            220         1501.0            196
          300.0         827.69         +10.86          88.93           21.1            220         1504.2            196
          301.0         827.38         +10.85          88.89           21.1            220         1507.4            197
          302.0         827.06         +10.86          88.48           21.1            220         1510.6            197
          303.0         826.72         +10.86          88.21           21.1            220         1514.0            198
          304.0         826.43         +10.86          88.16           21.1            220         1517.0            198
          305.0         826.11         +10.83          88.15           21.0            220         1520.2            197
          306.0         825.80         +10.82          88.24           21.0            221         1523.4            196
          307.0         825.46         +10.81          88.12           21.0            221         1526.7            197
          308.0         825.14         +10.80          87.97           21.0            221         1529.9            197
          309.0         824.79         +10.77          88.09           20.9            221         1533.5            197
          310.0         824.45         +10.74          88.16           20.9            221         1536.9            199
          311.0         824.10         +10.71          88.51           20.9            221         1540.5            203
          312.0         823.78         +10.68          88.59           20.8            221         1543.7            208
          313.0         823.45         +10.65          88.84           20.8            221         1547.1            212
          314.0         823.13         +10.60          88.89           20.8            221         1550.3            218
          315.0         822.82         +10.60          88.83           20.8            221         1553.5            221
          316.0         822.52         +10.56          88.91           20.8            221         1556.5            224
          317.0         822.19         +10.56          88.86           20.8            221         1559.9            224
          318.0         821.87         +10.53          88.88           20.8            221         1563.1            224
          319.0         821.52         +10.51          89.04           20.8            221         1566.7            222
          320.0         821.15         +10.48          88.87           20.8            221         1570.5            221
          321.0         820.71         +10.44          88.66           20.8            221         1574.9            220
          322.0         820.24         +10.43          88.25           20.8            221         1579.7            220
          323.0         819.75         +10.43          87.40           20.8            221         1584.7            220
          324.0         819.28         +10.41          86.95           20.8            222         1589.5            220
          325.0         818.85         +10.36          86.99           20.8            222         1593.9            220
          326.0         818.46         +10.35          87.06           20.8            222         1597.9            220
          327.0         818.12         +10.35          86.77           20.8            222         1601.3            220
          328.0         817.81         +10.34          86.99           20.8            222         1604.5            220
          329.0         817.52         +10.33          87.20           20.8            222         1607.5            218
          330.0         817.20         +10.30          87.13           20.8            222         1610.7            217
          331.0         816.89         +10.29          86.95           20.8            222         1613.9            214
          332.0         816.58         +10.27          86.43           20.8            222         1617.0            210
          333.0         816.24         +10.28          85.91           20.8            222         1620.4            205
          334.0         815.93         +10.28          84.90           20.8            222         1623.6            202
          335.0         815.62         +10.25          84.35           20.8            222         1626.8            199
          336.0         815.32         +10.28          84.01           20.8            222         1629.8            198
          337.0         815.01         +10.28          83.09           20.9            222         1633.0            199
          338.0         814.70         +10.29          82.24           20.9            222         1636.2            201
          339.0         814.39         +10.31          81.20           20.9            222         1639.4            203
          340.0         814.06         +10.32          81.10           20.9            222         1642.8            206
          341.0         813.72         +10.29          81.46           20.9            222         1646.2            211
          342.0         813.39         +10.28          81.82           20.9            222         1649.6            215
          343.0         813.08         +10.25          81.77           20.9            222         1652.8            218
          344.0         812.71         +10.24          81.85           20.9            222         1656.6            220
          345.0         812.36         +10.21          81.69           20.9            223         1660.2            222
          346.0         812.01         +10.15          81.69           20.8            223         1663.8            223
          347.0         811.66         +10.16          81.51           20.8            223         1667.4            223
          348.0         811.27         +10.14          81.30           20.8            223         1671.4            224
          349.0         810.90         +10.13          81.45           20.8            223         1675.2            225
          350.0         810.49         +10.09          81.79           20.8            223         1679.4            225
          351.0         810.03         +10.06          82.44           20.8            223         1684.2            225
          352.0         809.58         +10.03          82.68           20.8            223         1688.8            226
          353.0         809.17          +9.98          82.94           20.8            223         1693.0            227
          354.0         808.78          +9.95          83.22           20.8            223         1697.0            225
          355.0         808.41          +9.93          83.34           20.8            223         1700.8            224
          356.0         808.10          +9.89          83.59           20.8            223         1704.0            223
          357.0         807.78          +9.86          83.71           20.7            223         1707.3            222
          358.0         807.43          +9.82          83.94           20.7            224         1710.9            220
          359.0         807.11          +9.79          83.93           20.7            224         1714.2            219
          360.0         806.76          +9.76          84.04           20.7            224         1717.8            217
          361.0         806.43          +9.72          84.09           20.7            224         1721.2            213
          362.0         806.08          +9.71          84.11           20.7            224         1724.8            210
          363.0         805.74          +9.68          84.06           20.6            224         1728.3            208
          364.0         805.43          +9.67          84.01           20.6            224         1731.5            206
          365.0         805.10          +9.64          84.20           20.6            224         1734.9            205
          366.0         804.79          +9.61          84.22           20.6            224         1738.1            206
          367.0         804.48          +9.58          84.38           20.6            225         1741.3            206
          368.0         804.17          +9.56          84.38           20.6            225         1744.5            207
